values	weights
Sophie	49
Marie	46
Charlotte	44
Emilia	40
Maria	34
Ella	31
Charlotte	31
Mila	27
Lea	24
Mia	24
Sophie	23
Clara	22
Lina	22
Anna	21
Emilia	19
Mathilda	18
Ava	17
Emma	17
Rosa	17
Elisabeth	17
Hannah	16
Lena	16
Sophia	16
Maria	15
Marie	15
Olivia	15
Paula	15
Luise	15
Helena	14
Johanna	14
Leonie	14
Mira	14
Amira	13
Ida	13
Mara	13
Marlene	13
Maya	13
Zoe	13
Alva	12
Cleo	12
Juna	12
Lara	12
Leni	12
Paulina	12
Sophia	12
Johanna	12
Alma	11
Antonia	11
Elena	11
Elisa	11
Elisabeth	11
Flora	11
Hanna	11
Laura	11
Luisa	11
Sara	11
Luisa	11
Valentina	11
Amelie	10
Frida	10
Frieda	10
Liya	10
Malia	10
Nora	10
Romy	10
Elise	10
Josephine	10
Lou	10
Alina	9
Amalia	9
Carla	9
Isabella	9
Julia	9
Lia	9
Luise	9
Maja	9
Mina	9
Nele	9
Ruby	9
Sarah	9
Isabella	9
Louise	9
Pauline	9
Victoria	9
Carlotta	8
Lana	8
Livia	8
Lotta	8
Luna	8
Ronja	8
Stella	8
Valentina	8
Helene	8
Mathilda	8
Alicia	7
Ayla	7
Ela	7
Elif	7
Elise	7
Fiona	7
Anna	7
Ida	7
Isabel	7
Lotta	7
Mila	7
Rosa	7
Ada	6
Aliya	6
Aliyah	6
Asya	6
Ellie	6
Emily	6
Leyla	6
Lilly	6
Louisa	6
Lucia	6
Maryam	6
Matilda	6
Medina	6
Merle	6
Rosalie	6
Tilda	6
Viktoria	6
Yuna	6
Aurelia	6
Clara	6
Dorothea	6
Katharina	6
Liv	6
Marlene	6
Nur	6
Marie	6
Sophie	6
Alice	5
Alisa	5
Alya	5
Amaya	5
Amelia	5
Aurelia	5
Azra	5
Chiara	5
Elina	5
Emelie	5
Eva	5
Fritzi	5
Klara	5
Linda	5
Liv	5
Liyah	5
Liyana	5
Luana	5
Malina	5
Martha	5
Milana	5
Mona	5
Naomi	5
Pauline	5
Selma	5
Sofia	5
Thea	5
Amalia	5
Carlotta	5
Elisa	5
Florentine	5
Hanna	5
Hannah	5
Leonora	5
Lotte	5
Olivia	5
Sofia	5
Viktoria	5
Ariana	4
Cataleya	4
Emilija	4
Esther	4
Felina	4
Helene	4
Hiranur	4
Isabelle	4
Ivy	4
Jana	4
Karlotta	4
Kira	4
Lavin	4
Layla	4
Liana	4
Liliana	4
Lilith	4
Mariam	4
