values	weights
 Müller	256003
 Schmidt	190584
 Schneider	115749
 Fischer	97658
 Weber	86061
 Meyer	83586
 Wagner	79732
 Becker	74009
 Schulz	73736
 Hoffmann	71440
 Schäfer	61591
 Richter	59950
 Koch	59927
 Bauer	58903
 Klein	53378
 Wolf	51347
 Schröder	50648
 Neumann	47592
 Schwarz	44325
 Zimmermann	42872
 Braun	42439
 Krüger	41980
 Hofmann	41797
 Hartmann	40638
 Lange	40524
 Schmitt	39649
 Werner	39357
 Krause	38883
 Schmitz	38606
 Meier	37459
 Lehmann	37048
 Schmid	35679
 Schulze	34797
 Maier	34412
 Köhler	34148
 Herrmann	33830
 Walter	33659
 König	33318
 Mayer	32141
 Kaiser	31882
 Huber	31369
 Fuchs	30905
 Peters	30830
 Scholz	30010
 Lang	29890
 Möller	29613
 Weiß	28905
 Jung	28223
 Hahn	27014
 Schubert	26821
 Vogel	26360
 Keller	26192
 Friedrich	26142
 Günther	25904
 Frank	25759
 Roth	25445
 Berger	25423
 Winkler	25344
 Beck	24879
 Lorenz	23924
 Baumann	22909
 Franke	22096
 Albrecht	21687
 Simon	21583
 Schuster	21406
 Ludwig	21403
 Böhm	21291
 Winter	21228
 Kraus	21030
 Schumacher	20764
 Martin	20744
 Vogt	20439
 Krämer	20255
 Jäger	20102
 Otto	19948
 Stein	19745
 Sommer	19207
 Groß	19055
 Seidel	18865
 Heinrich	18755
 Brandt	18435
 Schreiber	18234
 Haas	18201
 Graf	17962
 Schulte	17677
 Dietrich	17450
 Ziegler	17351
 Kühn	17141
 Kuhn	17114
 Pohl	17009
 Engel	16918
 Horn	16580
 Thomas	16377
 Bergmann	16355
 Busch	16349
 Voigt	16153
 Sauer	16152
 Arnold	15943
 Seifert	15886
 Wolff	15761
 Beyer	15702
 Pfeiffer	15683
 Ernst	15646
 Hübner	15550
 Lindner	15534
 Kramer	15506
 Jansen	15307
 Franz	15258
 Hansen	15258
 Wenzel	15055
 Peter	15051
 Götz	14774
 Paul	14652
 Hermann	14580
 Riedel	14572
 Barth	14529
 Kern	14377
 Wilhelm	14288
 Nagel	14157
 Ott	13904
 Bock	13765
 Langer	13702
 Ritter	13626
 Kruse	13573
 Lenz	13563
 Grimm	13535
 Haase	13475
 Förster	13433
 Mohr	13285
 Schumann	13219
 Jahn	13157
 Petersen	13156
 Hoppe	13079
 Kaufmann	13059
 Thiel	13040
 Zimmer	13035
 Fiedler	12927
 Arndt	12880
 Marx	12568
 Kraft	12563
 Michel	12560
 Fritz	12373
 Lutz	12352
 Sander	12247
 Berg	12186
 Walther	12185
 Schütz	12117
 Böttcher	12101
 Eckert	12082
 Thiele	12032
 Reinhardt	12015
 Reuter	12006
 Schilling	11991
 Schindler	11863
 Kunz	11696
 Nowak	11551
 Voß	11543
 Ebert	11527
 Hesse	11456
 Hein	11414
 Beckmann	11371
 Schramm	11360
 Fröhlich	11361
 Herzog	11289
 Frey	11195
 Rudolph	11187
 Kunze	11022
 Behrens	10943
 Stephan	10929
 Bayer	10810
 Büttner	10788
 Gruber	10645
 Maurer	10621
 Adam	10574
 Bender	10555
 Gärtner	10544
 Witt	10535
 Bachmann	10431
