values	weights
Noah	41
Alexander	30
Anton	27
Leon	27
Adam	25
Maximilian	25
Emil	24
Felix	24
Jakob	24
Paul	24
Levi	23
Oskar	23
Theodor	23
Elias	22
Lukas	22
Liam	21
Louis	21
Emil	21
Karl	20
Leonard	20
Maximilian	20
Leo	19
Milan	19
Valentin	19
Bruno	18
Elias	18
Finn	17
Theo	17
Paul	17
Valentin	17
Aaron	15
Henry	15
Jonathan	15
Arthur	14
Ben	14
Jasper	14
Julius	14
Luca	14
Levi	14
Theodor	14
Alexander	13
Raphael	13
Jonas	12
Linus	12
Milo	12
Samuel	12
Vincent	12
Noah	12
Oskar	12
Ali	11
Amir	11
Carl	11
Gabriel	11
Jonah	11
Joshua	11
Leopold	11
Luis	11
Matteo	11
Yasin	11
Ali	11
Jonathan	11
Wilhelm	11
Benjamin	10
Daniel	10
David	10
Edgar	10
Jona	10
Julian	10
Konstantin	10
Leander	10
Lian	10
Malik	10
Ole	10
Oscar	10
Tim	10
Tom	10
Benjamin	10
Ayaz	9
Hugo	9
Kian	9
Luan	9
Rio	9
Anton	9
Ferdinand	9
Jakob	9
Julius	9
Peter	9
Adrian	8
Carlo	8
Emilian	8
Hamza	8
Kilian	8
Levin	8
Mateo	8
Mika	8
Miran	8
Friedrich	8
Georg	8
Henri	8
Johannes	8
Karl	8
Konstantin	8
Leander	8
Ludwig	8
Matteo	8
Michael	8
Otto	8
Robert	8
Sebastian	8
Aras	7
Erik	7
Fabian	7
Fynn	7
Justus	7
Leonardo	7
Lio	7
Mahir	7
Maxim	7
Mikail	7
Oliver	7
Otis	7
Philipp	7
David	7
Frederik	7
Gabriel	7
Heinrich	7
Jasper	7
Leonard	7
Samuel	7
Arian	6
Caspar	6
Elio	6
Emir	6
Ferdinand	6
Frederik	6
Friedrich	6
Jan	6
Mads	6
Mats	6
Max	6
Moritz	6
Nael	6
Niklas	6
Omar	6
Till	6
Toni	6
Yusuf	6
August	6
Aurel	6
Carl	6
Felix	6
Henry	6
Jan	6
Josef	6
Louis	6
Luca	6
Nicolas	6
August	5
Emilio	5
Enno	5
Fiete	5
Gustav	5
Henri	5
Issa	5
Jacob	5
Jannik	5
Jannis	5
Jari	5
Joris	5
Karlo	5
Keno	5
Kerem	5
Lennart	5
Lucas	5
Ludwig	5
Luka	5
Luke	5
Marlon	5
Mert	5
Mio	5
Mohammad	5
Nicolas	5
Nikolas	5
Victor	5
Arthur	5
Benedikt	5
Christian	5
Daniel	5
Fritz	5
Johan	5
Johann	5
Jonas	5
Konrad	5
Leo	5
Leon	5
Manuel	5
Matthias	5
Maurice	5
Milan	5
Valentin	5
Adem	4
Amin	4
Aron	4
Bela	4
Constantin	4
Diego	4
Efe	4
Elian	4
Elijah	4
Frederick	4
Hanno	4
Ibrahim	4
Jamie	4
Joel	4
Johan	4
Johannes	4
Kaan	4
Konrad	4
Lenny	4
Lionel	4
Lorenz	4
Lyan	4
Magnus	4
Malte	4
Mark	4
Matheo	4
Mehmet	4
Michael	4
Miro	4
Muhammad	4
Nino	4
Noam	4
Rafael	4
Richard	4
Ruben	4
Sami	4
Simon	4
Thomas	4
Valentino	4
Viktor	4
William	4
Arel	4
Bela	4
Ben	4
Elyas	4
Emilian	4
Emilio	4
Emir	4
Eric	4
Fiete	4
Finn	4
Frederick	4
Han	4
Hannes	4
Joachim	4
Kian	4
Leopold	4
Malik	4
Mateo	4
Max	4
Mustafa	4
Nael	4
Philipp	4
Richard	4
Stefan	4
Thomas	4
Vincent	4
Willem	4
William	4
Maximilian	4
Michael	4
Ahmad	3
Alessio	3
Alex	3
Ari	3
Artur	3
Arvin	3
Aziz	3
Batuhan	3
Benedikt	3
Darius	3
Diyar	3
Eddie	3
Ediz	3
Eli	3
Eliah	3
Eymen	3
Filip	3
Franz	3
Georg	3
Hannes	3
Hussein	3
Idris	3
Ilay	3
Ilyas	3
Ä°brahim	3
Jack	3
Janosch	3
Jaron	3
Jibril	3
Jonte	3
Joscha	3
Junis	3
Juri	3
Kaspar	3
Kiyan	3
Konstantinos	3
Leandro	3
Lennard	3
Lennox	3
Leonidas	3
Lias	3
Lovis	3
Matthias	3
Matti	3
Miguel	3
Milas	3
Milian	3
Miron	3
Moussa	3
Nathanael	3
Nelio	3
Neo	3
Nick	3
Nico	3
Niko	3
Noel	3
Noyan	3
Nuri	3
Pepe	3
Piet	3
Robert	3
Robin	3
Rudi	3
Ryan	3
Salih	3
Taha	3
Teo	3
Teoman	3
Timo	3
Willy	3
Zayn	3
Ă–mer	3
Aaron	3
Adam	3
Adrian	3
Amadeus	3
Aras	3
Bruno	3
Can	3
Carlo	3
Caspar	3
Constantin	3
Damian	3
Elia	3
Elio	3
Franz	3
Hans	3
Hector	3
Henrik	3
Ibrahim	3
Ilay	3
Ismail	3
Justus	3
Klaus	3
Lennard	3
Lian	3
Luis	3
Mael	3
Martin	3
Mattis	3
MaĂ«l	3
Musa	3
Neo	3
Niklas	3
Nikolai	3
Ole	3
Piet	3
Rafael	3
Simon	3
Vito	3
Ă–mer	3
Friedrich	3
Heinrich	3
Karl	3
Otto	3
Robert	3
Abbas	2
Adriano	2
Aiden	2
Alexandre	2
Alexios	2
Alparslan	2
Alvar	2
Anas	2
Anthony	2
Antoni	2
Antonio	2
Arda	2
Arel	2
Aren	2
Armin	2
Aryan	2
Atahan	2
Atlas	2
Avi	2
Aviv	2
Ayden	2
Azad	2
Azer	2
Bennet	2
Bennett	2
Bodhi	2
Carlos	2
Casimir	2
Caspian	2
Cedric	2
Cem	2
Charlie	2
Cosmo	2
Damian	2
Daniil	2
Danilo	2
Deniz	2
Devin	2
Diyan	2
Dominik	2
Elia	2
Elyas	2
Emiliano	2
Ensar	2
Enzo	2
Eray	2
Eren	2
Etienne	2
Fabio	2
Fatih	2
Felipe	2
Florian	2
Flynn	2
Francis	2
FrĂedĂeric	2
Hadi	2
Harun	2
Henrik	2
Ilya	2
Imran	2
Isa	2
Ivo	2
Jakub	2
Jamal	2
Jamil	2
Jannes	2
Jascha	2
Jesse	2
Johann	2
John	2
Jori	2
Josef	2
Josiah	2
Karam	2
Karim	2
Kasimir	2
Khaled	2
Kolja	2
Kuno	2
Kuzey	2
Lars	2
Laurenz	2
Lazar	2
Lean	2
Leevi	2
Lev	2
Leyth	2
Liem	2
Lion	2
Lorenzo	2
Lou	2
Luc	2
Lucian	2
Luciano	2
Lunis	2
Lyo	2
Mael	2
Maksim	2
Malek	2
Marlo	2
Martin	2
Matei	2
Matthew	2
Matts	2
Mauro	2
Maxime	2
Mohammed	2
Mostafa	2
Muhammed	2
Myles	2
Mylo	2
