230 E KAT	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	1990	2296.00	0.00	5	BENZYNA
E 270	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. ZAKUPIONY W KRAJU	1999	2685.00	125.00	5	OLEJ NAPĘDOWY
E 220 2.2 CDI KOMBI	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2012	2143.00	120.00	5	OLEJ NAPĘDOWY
C 200 4MATIC	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	NOWY ZAKUPIONY W KRAJU	2018	1991.00	135.00	5	BENZYNA
200 E	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. ZAKUPIONY W KRAJU	1996	1998.00	100.00	5	BENZYNA
E 320	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2003	3222.00	150.00	5	OLEJ NAPĘDOWY
E 220 CDI	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	2012	2143.00	125.00	5	OLEJ NAPĘDOWY
C 220 CDI	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2004	2148.00	100.00	5	OLEJ NAPĘDOWY
A 140	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. IMPORT INDYW	1998	1397.00	60.00	5	BENZYNA
111 CDI	SAMOCHÓD OSOBOWY	VAN	NOWY ZAKUPIONY W KRAJU	2004	2148.00	110.00	8	OLEJ NAPĘDOWY
124	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	1995	2199.00	110.00	5	OLEJ NAPĘDOWY
B 200	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2008	2034.00	85.00	5	BENZYNA
E200	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	1995	1998.00	100.00	5	BENZYNA
VITO	SAMOCHÓD OSOBOWY	VAN	UŻYW. ZAKUPIONY W KRAJU	2006	2148.00	110.00	9	OLEJ NAPĘDOWY
GLA 220 4 MATIC	SAMOCHÓD OSOBOWY	KOMBI	NOWY ZAKUPIONY W KRAJU	2017	1991.00	135.00	5	BENZYNA
A 160	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. ZAKUPIONY W KRAJU	2005	1992.00	60.00	5	OLEJ NAPĘDOWY
E 220 CDI	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2001	2148.00	85.00	5	OLEJ NAPĘDOWY
C 270	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. ZAKUPIONY W KRAJU	2004	2685.00	120.00	5	OLEJ NAPĘDOWY
190 2.0 D	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	1990	1997.00	55.00	5	OLEJ NAPĘDOWY
E 220	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	2006	2148.00	110.00	5	OLEJ NAPĘDOWY
C 200 4MATIC	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	NOWY ZAKUPIONY W KRAJU	2015	1991.00	135.00	5	BENZYNA
E 220 D	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	1996	2197.00	70.00	5	OLEJ NAPĘDOWY
CLK 220 CDI	SAMOCHÓD OSOBOWY	COUPE	UŻYW. IMPORT INDYW	2007	2148.00	110.00	4	OLEJ NAPĘDOWY
GLC 300 4MATIC	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	2017	1991.00	180.00	5	BENZYNA
A 160	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. ZAKUPIONY W KRAJU	1998	1598.00	75.00	5	BENZYNA
C 250 TD	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	1996	2497.00	110.00	5	OLEJ NAPĘDOWY
124 2.5	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	1985	2448.00	118.00	5	BENZYNA
GLA 200	SAMOCHÓD OSOBOWY	KOMBI	NOWY ZAKUPIONY W KRAJU	2018	1595.00	115.00	5	BENZYNA
124 3.0 D	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	1992	2996.00	81.00	5	OLEJ NAPĘDOWY
SPRINTER 212 D	SAMOCHÓD OSOBOWY	INNY	UŻYW. IMPORT INDYW	1997	2874.00	90.00	9	OLEJ NAPĘDOWY
C 200	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	2014	1991.00	135.00	5	BENZYNA
E320 CDI	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	2005	3222.00	145.00	5	OLEJ NAPĘDOWY
A 150	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. ZAKUPIONY W KRAJU	2006	1498.00	70.00	5	BENZYNA
C 200 CDI	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	2001	2148.00	85.00	5	OLEJ NAPĘDOWY
VANEO 1,7 CDI	SAMOCHÓD OSOBOWY	VAN	UŻYW. ZAKUPIONY W KRAJU	2005	1689.00	67.00	5	OLEJ NAPĘDOWY
C 220D	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	1997	2155.00	55.00	5	OLEJ NAPĘDOWY
124 KAT	SAMOCHÓD OSOBOWY	COUPE	UŻYW. ZAKUPIONY W KRAJU	1989	2960.00	132.00	4	BENZYNA
S 420	SAMOCHÓD OSOBOWY	COUPE	UŻYW. ZAKUPIONY W KRAJU	1996	4196.00	205.00	4	BENZYNA
VIANO	SAMOCHÓD OSOBOWY	VAN	UŻYW. IMPORT INDYW	2011	2987.00	165.00	8	OLEJ NAPĘDOWY
B 200 CDI	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. IMPORT INDYW	2006	1992.00	103.00	5	OLEJ NAPĘDOWY
VITO 108CDI	SAMOCHÓD OSOBOWY	VAN	UŻYW. ZAKUPIONY W KRAJU	2000	2151.00	60.00	6	OLEJ NAPĘDOWY
A 160	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. IMPORT INDYW	2011	1498.00	70.00	5	BENZYNA
C 220	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2003	2148.00	85.00	5	OLEJ NAPĘDOWY
C 220 D	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	1998	2155.00	70.00	5	OLEJ NAPĘDOWY
A 180	SAMOCHÓD OSOBOWY	COUPE	UŻYW. IMPORT INDYW	2006	1991.00	80.00	5	OLEJ NAPĘDOWY
190 E 1.8 KAT	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	1991	1797.00	80.00	5	BENZYNA
280S	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	1990	2746.00	0.00	5	OLEJ NAPĘDOWY
A 140 1.4 KAT	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. ZAKUPIONY W KRAJU	2000	1397.00	60.00	5	BENZYNA
B 180 CDI	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2008	1991.00	80.00	5	OLEJ NAPĘDOWY
123 D	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	1982	1971.00	44.00	5	OLEJ NAPĘDOWY
S 320 L	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	2000	3199.00	165.00	5	BENZYNA
A 180 CDI	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. IMPORT INDYW	2014	1461.00	80.00	5	OLEJ NAPĘDOWY
C 200 KOMPRESSOR	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	2009	1796.00	135.00	5	BENZYNA
E200	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	1992	1998.00	100.00	5	BENZYNA
B 180 CDI	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2012	1796.00	80.00	5	OLEJ NAPĘDOWY
C 320 CDI	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. ZAKUPIONY W KRAJU	2007	2987.00	165.00	5	OLEJ NAPĘDOWY
C 220	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	1996	2155.00	70.00	5	OLEJ NAPĘDOWY
GLE 500 4MATIC	SAMOCHÓD OSOBOWY	KOMBI	NOWY ZAKUPIONY W KRAJU	2017	4663.00	335.00	5	BENZYNA
S 320	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2000	3222.00	145.00	5	OLEJ NAPĘDOWY
E 320 CDI	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2000	3222.00	45.00	5	OLEJ NAPĘDOWY
180 202 C	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	1994	1799.00	90.00	5	BENZYNA
C 270	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. ZAKUPIONY W KRAJU	2004	2685.00	125.00	5	OLEJ NAPĘDOWY
A 180	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. IMPORT INDYW	2011	1991.00	80.00	5	OLEJ NAPĘDOWY
SLK 200 KOMPRESSOR	SAMOCHÓD OSOBOWY	KABRIOLET	UŻYW. IMPORT INDYW	2007	1796.00	120.00	2	BENZYNA
GLK 220 CDI 4MATIC	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2013	2143.00	125.00	5	OLEJ NAPĘDOWY
CL 500 4 MATIC	SAMOCHÓD OSOBOWY	COUPE	UŻYW. IMPORT INDYW	2011	4663.00	320.00	4	BENZYNA
CLA 200 D	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	NOWY ZAKUPIONY W KRAJU	2019	1950.00	110.00	5	OLEJ NAPĘDOWY
C 200	SAMOCHÓD OSOBOWY	KABRIOLET	NOWY ZAKUPIONY W KRAJU	2019	1497.00	135.00	4	BENZYNA
GLC 220 D 4MATIC	SAMOCHÓD OSOBOWY	KOMBI	NOWY ZAKUPIONY W KRAJU	2017	2143.00	125.00	5	OLEJ NAPĘDOWY
E 200	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	2013	2143.00	100.00	5	OLEJ NAPĘDOWY
A 150	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2008	1498.00	70.00	5	BENZYNA
GLC 250 4MATIC	SAMOCHÓD OSOBOWY	KOMBI	NOWY ZAKUPIONY W KRAJU	2018	1991.00	155.00	5	BENZYNA
B 180 CDI	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2009	1991.00	80.00	5	OLEJ NAPĘDOWY
GLA 220 4MATIC	SAMOCHÓD OSOBOWY	KOMBI	NOWY ZAKUPIONY W KRAJU	2018	1991.00	135.00	5	BENZYNA
CLK 200	SAMOCHÓD OSOBOWY	COUPE	UŻYW. ZAKUPIONY W KRAJU	2001	1998.00	120.00	5	BENZYNA
C 160	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	NOWY ZAKUPIONY W KRAJU	2019	1497.00	95.00	5	BENZYNA
GLC 250 4MATIC	SAMOCHÓD OSOBOWY	KOMBI	NOWY ZAKUPIONY W KRAJU	2019	1991.00	155.00	5	BENZYNA
E 220 CDI	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2006	2149.00	125.00	5	OLEJ NAPĘDOWY
C 270 CDI	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	2002	2685.00	125.00	5	OLEJ NAPĘDOWY
E 250	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2014	1991.00	155.00	5	BENZYNA
ML 350 BLUETEC 4MATIC	SAMOCHÓD OSOBOWY	WIELOZADANIOWY	UŻYW. ZAKUPIONY W KRAJU	2012	2987.00	190.00	5	OLEJ NAPĘDOWY
C 220 CDI	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	2007	2149.00	125.00	5	OLEJ NAPĘDOWY
220	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. ZAKUPIONY W KRAJU	1994	2155.00	70.00	5	OLEJ NAPĘDOWY
A 170	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. IMPORT INDYW	2003	1689.00	70.00	5	OLEJ NAPĘDOWY
A 190	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. IMPORT INDYW	2003	1898.00	92.00	5	BENZYNA
E200	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. ZAKUPIONY W KRAJU	2014	2143.00	100.00	5	OLEJ NAPĘDOWY
C 180 KOMPRESSOR	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2010	1597.00	115.00	5	BENZYNA
E 220 D	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	1999	2155.00	55.00	5	OLEJ NAPĘDOWY
GL 350 BLUETEC 4MATIC	SAMOCHÓD OSOBOWY	TERENOWY	UŻYW. ZAKUPIONY W KRAJU	2015	2987.00	190.00	5	OLEJ NAPĘDOWY
ML 270 CDI	SAMOCHÓD OSOBOWY	TERENOWY	UŻYW. IMPORT INDYW	2001	2685.00	120.00	5	OLEJ NAPĘDOWY
S 320 CDI	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2007	2987.00	173.00	5	OLEJ NAPĘDOWY
E 250	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2015	1991.00	155.00	5	BENZYNA
