TIGUAN	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2008	1968.00	103.00	5	OLEJ NAPĘDOWY
GOLF PLUS	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. IMPORT INDYW	2007	1896.00	77.00	5	OLEJ NAPĘDOWY
PASSAT	SAMOCHÓD OSOBOWY	INNY	UŻYW. ZAKUPIONY W KRAJU	1988	1576.00	53.00	5	BENZYNA
TIGUAN	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2015	1968.00	81.00	5	OLEJ NAPĘDOWY
GOLF 1.4 KAT	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. IMPORT INDYW	2003	1390.00	55.00	5	BENZYNA
BORA 1,9 TDI	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2000	1896.00	85.00	5	OLEJ NAPĘDOWY
GOLF	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. ZAKUPIONY W KRAJU	1992	1391.00	44.00	5	BENZYNA
SHARAN	SAMOCHÓD OSOBOWY	VAN	UŻYW. ZAKUPIONY W KRAJU	2003	1896.00	85.00	7	OLEJ NAPĘDOWY
MULTIVAN	SAMOCHÓD OSOBOWY	WIELOZADANIOWY	UŻYW. IMPORT INDYW	2005	2461.00	128.00	7	OLEJ NAPĘDOWY
TRANSPORTER 1.9 TD	SAMOCHÓD OSOBOWY	FURGON	UŻYW. ZAKUPIONY W KRAJU	1994	1896.00	50.00	8	OLEJ NAPĘDOWY
UP!	SAMOCHÓD OSOBOWY	HATCHBACK	NOWY ZAKUPIONY W KRAJU	2015	999.00	44.00	4	BENZYNA
PASSAT	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2012	1968.00	103.00	5	OLEJ NAPĘDOWY
PASSAT 2.0	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2005	1984.00	96.00	5	BENZYNA
POLO 1.2	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. ZAKUPIONY W KRAJU	2002	1198.00	47.00	5	BENZYNA
PASSAT	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. ZAKUPIONY W KRAJU	2007	1968.00	103.00	5	OLEJ NAPĘDOWY
POLO	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. ZAKUPIONY W KRAJU	2010	1198.00	44.00	5	BENZYNA
POLO	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. IMPORT INDYW	2003	1198.00	47.00	5	BENZYNA
GOLF PLUS	SAMOCHÓD OSOBOWY	WIELOZADANIOWY	UŻYW. IMPORT INDYW	2007	1595.00	75.00	5	BENZYNA
VW 19 E	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. ZAKUPIONY W KRAJU	1987	1263.00	40.00	5	BENZYNA
GOLF 1,9 TD KOMBI	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	1997	1896.00	55.00	5	OLEJ NAPĘDOWY
TOURAN	SAMOCHÓD OSOBOWY	VAN	UŻYW. ZAKUPIONY W KRAJU	2005	1896.00	74.00	5	OLEJ NAPĘDOWY
GOLF IV 1.4 KAT	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. ZAKUPIONY W KRAJU	1998	1390.00	55.00	5	BENZYNA
POLO	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. IMPORT INDYW	2004	1198.00	47.00	5	BENZYNA
MULTIVAN	SAMOCHÓD OSOBOWY	WIELOZADANIOWY	UŻYW. IMPORT INDYW	2001	2461.00	75.00	7	OLEJ NAPĘDOWY
PASSAT	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. ZAKUPIONY W KRAJU	2005	1968.00	103.00	5	OLEJ NAPĘDOWY
GOLF	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. ZAKUPIONY W KRAJU	1996	1400.00	44.00	5	BENZYNA
BORA	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	1999	1896.00	81.00	5	OLEJ NAPĘDOWY
GOLF	SAMOCHÓD OSOBOWY	KOMBI	NOWY ZAKUPIONY W KRAJU	2017	1498.00	110.00	5	BENZYNA
