values	weights
NOWAK	101978
KOWALSKA	68813
WIŚNIEWSKA	55063
WÓJCIK	49567
KOWALCZYK	49003
KAMIŃSKA	47478
LEWANDOWSKA	46971
ZIELIŃSKA	45305
SZYMAŃSKA	44253
DĄBROWSKA	44025
WOŹNIAK	43900
KOZŁOWSKA	37670
JANKOWSKA	34365
MAZUR	34191
KWIATKOWSKA	33430
WOJCIECHOWSKA	33141
KRAWCZYK	31919
KACZMAREK	30807
PIOTROWSKA	30633
GRABOWSKA	29163
PAWŁOWSKA	27771
MICHALSKA	27363
KRÓL	27187
ZAJĄC	27064
WIECZOREK	25395
JABŁOŃSKA	25276
WRÓBEL	24913
NOWAKOWSKA	24842
MAJEWSKA	24561
OLSZEWSKA	23972
ADAMCZYK	23654
JAWORSKA	23583
MALINOWSKA	23513
STĘPIEŃ	23312
DUDEK	23028
GÓRSKA	22869
NOWICKA	22765
WITKOWSKA	22327
PAWLAK	22235
SIKORA	22021
WALCZAK	21850
RUTKOWSKA	21813
MICHALAK	21196
SZEWCZYK	21038
OSTROWSKA	20942
BARAN	20378
TOMASZEWSKA	20115
ZALEWSKA	19636
PIETRZAK	19562
WRÓBLEWSKA	19547
JASIŃSKA	19232
MARCINIAK	19164
SADOWSKA	18898
JAKUBOWSKA	18892
ZAWADZKA	18690
DUDA	18320
WŁODARCZYK	17922
BĄK	17835
CHMIELEWSKA	17828
BORKOWSKA	17777
WILK	17413
SOKOŁOWSKA	17382
SZCZEPAŃSKA	17127
SAWICKA	16924
LIS	16661
KUCHARSKA	16464
KALINOWSKA	16195
MACIEJEWSKA	16166
MAZUREK	16068
WYSOCKA	16033
KUBIAK	16018
KOŁODZIEJ	15486
CZARNECKA	15268
KAŹMIERCZAK	15130
URBAŃSKA	14385
SOBCZAK	14146
GŁOWACKA	14111
KRAJEWSKA	14101
KRUPA	14091
ZAKRZEWSKA	14041
SIKORSKA	14003
WASILEWSKA	13800
LASKOWSKA	13744
ZIÓŁKOWSKA	13737
GAJEWSKA	13547
SZULC	13497
MRÓZ	13492
MAKOWSKA	13463
BRZEZIŃSKA	13271
PRZYBYLSKA	13250
KACZMARCZYK	13217
BARANOWSKA	13203
SZYMCZAK	13141
ADAMSKA	13058
BŁASZCZYK	12925
BOROWSKA	12877
GÓRECKA	12856
SZCZEPANIAK	12732
KANIA	12713
LESZCZYŃSKA	12669
JANIK	12667
CZERWIŃSKA	12636
CHOJNACKA	12593
KOZAK	12578
LIPIŃSKA	12450
KOWALEWSKA	12438
ANDRZEJEWSKA	12369
WESOŁOWSKA	12368
MIKOŁAJCZYK	12362
MUCHA	12153
JAROSZ	12047
CIEŚLAK	12046
KONIECZNA	11933
ZIĘBA	11918
KOZIOŁ	11914
MARKOWSKA	11862
KOWALIK	11824
KOŁODZIEJCZYK	11806
MUSIAŁ	11669
BRZOZOWSKA	11525
DOMAŃSKA	11404
TOMCZYK	11239
ORŁOWSKA	11234
PAWLIK	11220
NOWACKA	11193
PIĄTEK	11190
KOPEĆ	11188
TOMCZAK	11175
ŻAK	11056
CIESIELSKA	11035
KUREK	11008
MARKIEWICZ	10961
WAWRZYNIAK	10916
WÓJTOWICZ	10897
POLAK	10896
WOLSKA	10894
KRUK	10838
KOT	10769
STANKIEWICZ	10704
JASTRZĘBSKA	10468
SOWA	10357
KARPIŃSKA	10320
URBANIAK	10305
CZAJKOWSKA	10248
STASIAK	10240
ŁUCZAK	10225
WIERZBICKA	10180
NAWROCKA	10150
PIASECKA	10141
KLIMEK	10117
DZIEDZIC	9999
SOSNOWSKA	9912
BEDNAREK	9865
JANICKA	9847
BIELECKA	9814
MILEWSKA	9793
STEFAŃSKA	9769
GAJDA	9757
MADEJ	9615
MAJCHRZAK	9493
JÓŹWIAK	9473
LEŚNIAK	9453
MAJ	9415
ŚLIWIŃSKA	9325
URBAN	9315
KOWAL	9303
SKIBA	9265
MAŁECKA	9242
BEDNARCZYK	9173
DOBROWOLSKA	9171
SOCHA	9166
MAREK	9093
MICHALIK	8957
ROMANOWSKA	8926
WRONA	8871
DOMAGAŁA	8864
RATAJCZAK	8824
WILCZYŃSKA	8816
KASPRZAK	8802
MATUSZEWSKA	8800
ORZECHOWSKA	8690
OLEJNICZAK	8666
ŚWIĄTEK	8666
PAJĄK	8595
KUROWSKA	8541
SOBOLEWSKA	8528
BUKOWSKA	8511
OWCZAREK	8434
MAZURKIEWICZ	8416
ŁUKASIK	8379
ROGOWSKA	8374
OLEJNIK	8364
GRZELAK	8360
KĘDZIERSKA	8311
BARAŃSKA	8248
KOSIŃSKA	8209
MATUSIAK	8196
RYBAK	8183
SOBCZYK	8068
SKOWROŃSKA	8041
MARCINKOWSKA	7989
MARSZAŁEK	7979
ZYCH	7929
BEDNARSKA	7927
CHRZANOWSKA	7927
BEDNARZ	7926
ŚWIDERSKA	7899
KUCZYŃSKA	7883
LISOWSKA	7873
SROKA	7845
JANISZEWSKA	7799
MORAWSKA	7799
KASPRZYK	7774
KOZIEŁ	7752
MUSZYŃSKA	7702
CHMIEL	7633
BIAŁEK	7613
GRZYBOWSKA	7606
MAŁEK	7585
JĘDRZEJEWSKA	7538
KWIECIEŃ	7511
PLUTA	7477
WITEK	7468
TUREK	7451
KRZEMIŃSKA	7442
CZAJA	7433
MARCZAK	7418
PALUCH	7417
OSIŃSKA	7415
PIEKARSKA	7402
CZAJKA	7379
KUBICKA	7336
ŻUKOWSKA	7315
CZECH	7314
MARZEC	7292
MICHAŁOWSKA	7263
JANOWSKA	7253
BIERNACKA	7252
SZYDŁOWSKA	7218
PRZYBYSZ	7217
GOŁĘBIEWSKA	7179
ŚLIWA	7154
STANISZEWSKA	7148
STEFANIAK	7142
SERAFIN	7137
KACZOR	7129
RUDNICKA	7089
KULESZA	7077
SMOLIŃSKA	7075
MURAWSKA	7074
LECH	7065
POPŁAWSKA	7045
LEWICKA	7036
PODGÓRSKA	7003
DĘBSKA	6991
KUJAWA	6983
GÓRA	6964
KACPRZAK	6960
CIEŚLIK	6932
PIETRZYK	6928
STACHOWIAK	6919
PIĄTKOWSKA	6911
BANACH	6820
SOWIŃSKA	6789
NIEMIEC	6784
BANAŚ	6765
KARCZEWSKA	6762
ROSIŃSKA	6755
MATYSIAK	6752
GOŁĘBIOWSKA	6736
ŻUREK	6714
KLIMCZAK	6710
RAK	6690
ZAWADA	6649
ŻURAWSKA	6645
GODLEWSKA	6634
BIENIEK	6624
AUGUSTYNIAK	6611
CZYŻ	6611
KOMOROWSKA	6595
SKRZYPCZAK	6498
GROCHOWSKA	6483
GRUSZKA	6482
GÓRKA	6454
KUŚ	6434
RÓŻAŃSKA	6425
PRZYBYŁA	6417
WINIARSKA	6406
SZCZĘSNA	6379
DROZD	6357
CYBULSKA	6349
KRAWIEC	6315
PTAK	6288
PANEK	6277
KULIK	6265
LEŚNIEWSKA	6264
KONOPKA	6242
KRZYŻANOWSKA	6208
MIKOŁAJCZAK	6184
GIL	6183
CICHOŃ	6179
SŁOWIK	6176
ZAREMBA	6151
CICHOCKA	6143
SZCZEPANIK	6130
SIWEK	6093
TOKARSKA	6093
MIELCZAREK	6071
ZARZYCKA	6045
GRACZYK	6021
SZYMCZYK	5996
STRZELECKA	5995
MŁYNARCZYK	5992
BARTKOWIAK	5979
KŁOS	5947
KACZYŃSKA	5923
BUCZEK	5921
MAĆKOWIAK	5917
STAŃCZYK	5906
BIERNAT	5882
SZCZYGIEŁ	5874
JANUS	5867
SZOSTAK	5864
NIEWIADOMSKA	5861
KOSTRZEWA	5854
GRZYB	5843
WĘGRZYN	5838
SIENKIEWICZ	5814
FILIPIAK	5813
SKOWRON	5813
JANIAK	5802
KUCHARCZYK	5773
GÓRNA	5759
KALETA	5757
JUREK	5731
RAKOWSKA	5727
BOGUSZ	5726
GAWRON	5726
GĄSIOR	5703
BAGIŃSKA	5684
KSIĄŻEK	5675
CIEŚLA	5674
KUBIK	5662
ANTCZAK	5644
BANASIAK	5636
RÓŻYCKA	5632
ŻEBROWSKA	5618
BARTCZAK	5615
GAWLIK	5589
TRZCIŃSKA	5575
KRÓLIKOWSKA	5559
KULA	5525
ZARĘBA	5517
HAJDUK	5490
MIKULSKA	5485
FRĄCZEK	5480
ROGALSKA	5466
GRZEGORCZYK	5450
RZEPKA	5442
PAŁKA	5429
DŁUGOSZ	5428
ROJEK	5415
ROGALA	5408
MALISZEWSKA	5400
MALEC	5385
GAWROŃSKA	5382
TROJANOWSKA	5374
DOBOSZ	5356
WITCZAK	5336
RADOMSKA	5332
TKACZYK	5284
RYBICKA	5271
STEC	5264
BOREK	5258
LACH	5256
MIKA	5238
KISIEL	5179
FRANKOWSKA	5178
BOGUCKA	5166
KACZOROWSKA	5150
WĄSIK	5133
ŚLUSARCZYK	5129
KARWOWSKA	5121
ZABOROWSKA	5106
GAŁĄZKA	5104
WIĘCKOWSKA	5084
GRZESIAK	5076
KMIECIK	5074
KWAŚNIEWSKA	5057
BIAŁAS	5037
KUBACKA	5000
DUDZIŃSKA	4981
