values	weights
PIOTR	694913
KRZYSZTOF	649962
ANDRZEJ	552430
TOMASZ	539395
PAWEŁ	509349
JAN	493283
MICHAŁ	490588
MARCIN	451581
JAKUB	416804
ADAM	401076
MAREK	386516
STANISŁAW	384927
ŁUKASZ	384626
GRZEGORZ	379321
MATEUSZ	375489
WOJCIECH	333428
MARIUSZ	289842
DARIUSZ	288089
ZBIGNIEW	273220
MACIEJ	267630
RAFAŁ	262926
ROBERT	260967
JERZY	251903
KAMIL	250459
DAWID	235973
JACEK	234901
SZYMON	233342
JÓZEF	222884
KACPER	221892
RYSZARD	213382
TADEUSZ	212578
BARTOSZ	202162
JAROSŁAW	193289
ARTUR	191209
SŁAWOMIR	187960
JANUSZ	187909
SEBASTIAN	185466
MIROSŁAW	184813
DAMIAN	183726
PATRYK	179254
HENRYK	172554
DANIEL	167276
PRZEMYSŁAW	166194
KAROL	165244
ROMAN	164910
FILIP	162071
ANTONI	161690
KAZIMIERZ	154376
ADRIAN	147761
ALEKSANDER	144324
WIESŁAW	143949
MARIAN	139103
ARKADIUSZ	134303
DOMINIK	132383
FRANCISZEK	130248
MIKOŁAJ	127033
BARTŁOMIEJ	124872
LESZEK	116842
KRYSTIAN	111241
WIKTOR	110496
WALDEMAR	109965
RADOSŁAW	103971
ZDZISŁAW	99873
BOGDAN	97051
KONRAD	90698
HUBERT	87450
EDWARD	86096
IGOR	85862
MIECZYSŁAW	82763
WŁADYSŁAW	78312
OSKAR	73207
CZESŁAW	71726
MARCEL	71533
OLEKSANDR	69767
EUGENIUSZ	66252
MAKSYMILIAN	64172
BOGUSŁAW	61611
MIŁOSZ	60969
IRENEUSZ	60925
STEFAN	59388
WITOLD	56429
ZYGMUNT	55909
SYLWESTER	54631
NIKODEM	51953
OLIWIER	51813
LEON	49640
ALAN	49258
WŁODZIMIERZ	48815
SERHII	48077
CEZARY	45447
ZENON	44926
ANDRII	43906
VOLODYMYR	41067
NORBERT	39835
GABRIEL	39393
JULIAN	38403
IGNACY	37100
TYMOTEUSZ	33673
FABIAN	32974
TYMON	32926
BŁAŻEJ	32722
DMYTRO	31355
IVAN	29611
ERYK	28782
EMIL	28224
MYKOLA	26655
VITALII	26029
VASYL	24818
IHOR	24775
LECH	24464
BRONISŁAW	24108
WACŁAW	23826
YURII	23817
OLEH	21789
MAKSYM	21559
BOLESŁAW	20562
NATAN	20540
KSAWERY	20284
MYKHAILO	19796
VIKTOR	19112
REMIGIUSZ	18632
BERNARD	18458
BORYS	18314
OLAF	18047
KAJETAN	16861
EDMUND	16672
VLADYSLAV	15718
BOHDAN	15420
KUBA	15403
LUCJAN	15339
ROMUALD	14671
OLEKSII	14452
ALBERT	14337
TOBIASZ	14279
GRACJAN	14014
RUSLAN	13794
SEWERYN	13737
BRUNO	13566
SZCZEPAN	13462
ALFRED	11981
KORNEL	11402
OLIVIER	11384
JOACHIM	11311
LUDWIK	11127
ERNEST	11059
ALEXANDER	10921
PAVLO	10856
LESŁAW	10749
ARTEM	10720
DENYS	10621
BOGUMIŁ	10584
VADYM	10484
ANATOLII	10458
GERARD	10178
JĘDRZEJ	9983
ALEX	9841
FELIKS	9612
YAROSLAV	9438
DAVID	9300
ALIAKSANDR	9098
PETRO	9064
YEVHEN	8720
LEONARD	8690
JULIUSZ	8490
ANDREI	8195
ALOJZY	7910
VALERII	7825
ALEKS	7798
KLAUDIUSZ	7767
YEVHENII	7686
ANTON	7673
DORIAN	7509
TARAS	7325
OLIVER	7223
TEODOR	7090
NATANIEL	6815
MARTIN	6805
BENEDYKT	6615
DENIS	6478
SIARHEI	6466
KONSTANTY	6395
CYPRIAN	6384
RAJMUND	6331
VIACHESLAV	6296
MICHAEL	6276
GUSTAW	6185
STANISLAV	5960
MILAN	5911
MIESZKO	5878
SAMUEL	5855
BRAJAN	5837
DZMITRY	5708
KOSTIANTYN	5353
RUDOLF	5347
OLEG	5237
FLORIAN	5203
KEVIN	4988
MARCELI	4973
HIERONIM	4963
IWO	4843
WINCENTY	4685
ARIEL	4620
STEPAN	4570
FRYDERYK	4543
ERWIN	4507
VALENTYN	4452
BENIAMIN	4432
KORDIAN	4428
ZYGFRYD	4419
ALEKSY	4391
JEREMI	4220
ILLIA	4153
SERGII	4149
NAZAR	4147
ROLAND	4097
PAVEL	4057
SERGIUSZ	4028
MAXIMILIAN	3825
PATRICK	3785
EDUARD	3715
AMADEUSZ	3656
OLGIERD	3654
VICTOR	3653
THOMAS	3556
WALENTY	3525
OSCAR	3301
EMILIAN	3296
BRUNON	3292
AUGUSTYN	3233
KEWIN	3217
MARK	3212
ALIAKSEI	3203
NICOLAS	3202
LEO	3201
ANDRIY	3084
LEONID	3062
OLIWER	3051
LEOPOLD	3045
ADOLF	3026
GIORGI	2931
MAURYCY	2896
ARNOLD	2895
MAKSIM	2853
